index,x1_b,x2_b,x3_b,x4_b,x5_b,x6_b,x7_b,x8_b,x9_b,x10_b,_cons_b,nobs,ncoef,F,r2adj
193,0.0028362249,,,,,,0.0021437078,-0.0019163962,,,0.49994507,100000,4,0.546363,-1.3609430976835313e-5
518,,0.0010771628,-0.0030201515,,,,,,,0.0024879044,0.50120765,100000,4,0.546363,-1.3609430976835313e-5
535,0.0028363762,0.0010505302,-0.0030505855,,0.003438319,,,,,0.002460006,0.49811095,100000,6,0.7271595,-1.364234881617854e-5
720,,,,,0.0034479038,,0.0021599394,-0.0019232347,,0.002452325,0.49841484,100000,5,0.65712565,-1.371530027549639e-5
700,,,-0.0030508016,0.003691153,0.003431601,0.0013510688,,-0.0019165974,,0.0024517046,0.4985031,100000,7,0.7708684,-1.3748220561771163e-5
798,,0.001076169,-0.0030368937,0.0037005171,0.0034194693,,,,-0.0020736097,0.0024703648,0.49870446,100000,7,0.7708684,-1.3748220561771163e-5
808,,,,0.0037138173,,0.0013612984,,,-0.0020775406,0.0024878378,0.49874204,100000,5,0.6556355,-1.3774907304586748e-5
473,0.002821306,,,0.0036982566,0.0034333037,,0.002169088,-0.0019276008,-0.0020685415,,0.49741638,100000,7,0.76987505,-1.3807828783019005e-5
545,0.0028444447,,,,,0.0013936562,,,,0.0024780252,0.49812272,100000,4,0.53841585,-1.3847856708659734e-5
713,0.0028181346,,,0.003711831,,,0.0021547046,-0.0019184309,,0.002465398,0.49686158,100000,6,0.722391,-1.3880779317076986e-5
852,,,-0.0030355044,,0.0034568715,,0.002153855,,-0.002068628,0.0024746996,0.49998948,100000,6,0.722391,-1.3880779317076986e-5
288,,,,,,0.0013685212,,,-0.0020539209,,0.50182664,100000,3,0.30397642,-1.3920804653677621e-5
305,0.0028468904,,,,0.0034450723,0.0013907673,,,-0.0020624448,,0.4986723,100000,5,0.6511651,-1.3953728391857823e-5
385,0.0028444128,,,,,,,-0.0019124448,-0.002061521,,0.50204307,100000,4,0.5344421,-1.3967069574682967e-5
633,0.002821253,,,0.0036819037,0.0034132712,0.0013846875,0.002167667,,,0.0024471816,0.4935238,100000,7,0.76689476,-1.3986653446984576e-5
845,0.0028403958,,-0.0030312138,0.003713499,,,0.0021486464,,-0.0020871486,0.0024879267,0.49843854,100000,7,0.76689476,-1.3986653446984576e-5
46,,0.0010738764,-0.003021448,0.0037198146,,0.0013598369,,,,,0.49991503,100000,5,0.6481849,-1.407294245003854e-5
150,,0.0010530798,-0.0030372068,,0.0034670562,,,-0.0019310805,,,0.5017051,100000,5,0.6481849,-1.407294245003854e-5
325,0.0028579722,,-0.0030258396,,,,0.002137632,,-0.0020629396,,0.50152034,100000,5,0.6481849,-1.407294245003854e-5
586,,0.0011148221,,0.0037237932,,,0.0021610532,,,0.002475645,0.49674505,100000,5,0.6481849,-1.407294245003854e-5
912,,,,,0.003437898,,,-0.0019188387,-0.0020667575,0.0024659846,0.5005257,100000,5,0.6481849,-1.407294245003854e-5
66,,0.0010920338,,,,,0.0021496923,,,,0.499861,100000,3,0.2950359,-1.4099622164476244e-5
63,0.0028343238,0.0010471258,-0.0030517406,0.0036861277,0.0034326771,0.0013824122,,,,,0.49681392,100000,7,0.7639144,-1.4165478110950147e-5
905,0.0028265438,,,0.0037099195,,,,-0.0019143635,-0.002085271,0.0024790938,0.4989709,100000,6,0.7164305,-1.4178817443033509e-5
117,0.0028516778,,-0.0030498588,,0.0034701398,0.0014007362,0.0021496848,,,,0.4980658,100000,6,0.7152384,-1.4238425068091587e-5
143,0.002831255,0.0010702583,-0.0030332147,0.003716107,,,,-0.0019265644,,,0.5001461,100000,6,0.7152384,-1.4238425068091587e-5
248,,,,0.003701241,0.0034416148,0.0013373696,0.0021684936,-0.0019161515,,,0.497118,100000,6,0.7152384,-1.4238425068091587e-5
346,,0.0010909191,,0.0037104501,0.0034297837,,0.0021751774,,-0.0020622169,,0.49731222,100000,6,0.7152384,-1.4238425068091587e-5
670,,0.0010755669,-0.003042394,0.0036996459,0.0034255048,,,-0.0019333538,,0.0024530587,0.49864262,100000,7,0.76192755,-1.4284694553667876e-5
83,0.0028247011,0.0010653766,,,0.003448335,,0.0021622137,,,,0.49673003,100000,5,0.64222443,-1.4311370566177928e-5
100,,,-0.0030194665,,,0.0013785263,0.002137325,,,,0.50123066,100000,4,0.5225213,-1.4324708172752665e-5
620,,,-0.0030254577,0.0037165326,,0.0013714423,0.0021480096,,,0.0024797968,0.49813423,100000,6,0.7128542,-1.4357640318429787e-5
160,,,,,,0.0013463371,,-0.0019007025,,,0.5017603,100000,3,0.27715483,-1.4457257185851446e-5
380,,,-0.0030360345,0.0037026366,0.003451433,0.0013686607,0.0021625399,,-0.0020576722,,0.49868518,100000,7,0.75894725,-1.4463519217411402e-5
825,0.0028295764,,,0.0036799659,0.0034036005,0.0013837354,,,-0.0020860697,0.0024608627,0.49564743,100000,7,0.75894725,-1.4463519217411402e-5
177,0.0028382468,,,,0.003450697,0.0013684686,,-0.0019084312,,,0.49860716,100000,5,0.6377541,-1.4490191653449003e-5
197,0.0028497349,,-0.0030312792,,,,0.002136397,-0.0019213005,,,0.50145614,100000,5,0.6377541,-1.4490191653449003e-5
680,,,,0.003713005,,0.0013392961,,-0.0019029132,,0.0024707164,0.49867386,100000,5,0.6377541,-1.4490191653449003e-5
778,,0.0011051288,,0.0037217953,,,,,-0.0020787343,0.0024894585,0.49886537,100000,5,0.6377541,-1.4490191653449003e-5
